Alanine	C[C@H](N)C(=O)O
Arginine	NC(=N)NCCC[C@H](N)C(=O)O
Asparagine	NC(=O)C[C@H](N)C(=O)O
Aspartate	N[C@@H](CC(=O)O)C(=O)O
Cysteine	N[C@@H](CS)C(=O)O
Glutamine	NC(=O)CC[C@H](N)C(=O)O
Glutamate	N[C@@H](CCC(=O)O)C(=O)O
Glycine	NCC(=O)O
Histidine	N[C@@H](Cc1c[nH]cn1)C(=O)O
Isoleucine	CC[C@H](C)[C@H](N)C(=O)O
Leucine	CC(C)C[C@H](N)C(=O)O
Lysine	NCCCC[C@H](N)C(=O)O
Methionine	CSCC[C@H](N)C(=O)O
Phenylalanine	N[C@@H](Cc1ccccc1)C(=O)O
Proline	O=C(O)[C@@H]1CCCN1
Serine	N[C@@H](CO)C(=O)O
Threonine	C[C@@H](O)[C@H](N)C(=O)O
Tryptophan	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
Tyrosine	N[C@@H](Cc1ccc(O)cc1)C(=O)O
Valine	CC(C)[C@H](N)C(=O)O
Mevalonate	C[C@@](O)(CCO)CC(=O)O
Pyruvate	CC(=O)C(=O)O
IPP	C=C(C)CCOP(=O)(O)OP(=O)(O)O
DMAPP	CC(C)=CCOP(=O)(O)OP(=O)(O)O
2-Aminobenzoate	Nc1ccccc1C(=O)O
Shikimate	O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
FPP	CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
GPP	CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
GGPP	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
Malonate	O=C(O)CC(=O)O
Naringenin chalcone	O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1O
Isoliquiritigenin 	O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O
Squalene	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
4-Coumarate	O=C(O)/C=C/c1ccc(O)cc1
Chorismate	C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
Glyoxylate	O=CC(=O)O
Oxaloacetate	O=C(O)CC(=O)C(=O)O
Succinate	O=C(O)CCC(=O)O
Acetyl-CoA	*C(=O)C
Malonyl-CoA	*C(=O)CC(=O)O
